,URL,traffic-count,traffic-value,domain-rating
67,https://bluestacks.com,-0.17055009316562303,-0.30734819780444805,0.02093685507915789
7,https://dogtime.com,-0.18002446015736134,-0.3117389769712788,-0.5588529778821325
87,https://housing.com,-0.17387892481136893,-0.31119381311499444,-0.7907689110666486
18,https://aspca.org,-0.18191933355570902,-0.2735185703982623,0.48476872144819017
38,https://creditkarma.com,-0.17003796522012365,-0.16743263079698292,0.02093685507915789
69,https://cnet.com,-0.12215400231593262,0.03884558509439363,0.9486005878172225
89,https://rent.com,-0.1792562682391123,-0.30503493495480904,-0.6748109444743905
48,https://westernunion.com,-0.15288167904589478,-0.19395411569730278,0.3688107548559321
17,https://spotpet.com,-0.18243402214093588,-0.31198945766200403,-2.5301384099505198
11,https://litter-robot.com,-0.18218820072709618,-0.31064864925871005,-1.370558744027939
34,https://coinbase.com,-0.15800295850088847,-0.18511362073052948,0.8326426212249644
16,https://petinsurance.com,-0.18198078890916894,-0.28677931284842223,-0.7907689110666486
5,https://youtube.com,8.266501744963735,7.199646508180751,1.760306353963029
49,https://nasdaq.com,-0.16209998206488344,-0.21605535311423596,0.7166846546327064
52,https://pnc.com,-0.16798945343812619,-0.137964314241072,-0.21097907810535826
29,https://wise.com,-0.019728413216058775,-0.137964314241072,0.13689482167141595
56,https://github.com,-0.00948585430607139,0.053579743372349095,1.4124324541862547
45,https://bankrate.com,-0.1477603995909011,0.11251637648417097,0.7166846546327064
51,https://fidelity.com,-0.1644045578196306,-0.23373634304778254,0.252852788263674
68,https://techtarget.com,-0.15032103931839794,-0.15269847251902746,0.8326426212249644
83,https://realtor.com,-0.15032103931839794,-0.2573109962925113,0.8326426212249644
81,https://apartments.com,-0.1477603995909011,-0.1954275315250983,-0.21097907810535826
35,https://schwab.com,-0.16030753425563563,-0.23226292721998698,0.252852788263674
40,https://investopedia.com,-0.0811837666759831,0.06831390165030457,0.9486005878172225
54,https://microsoft.com,1.0122093969651702,1.468058938056074,1.4124324541862547
64,https://iloveimg.com,-0.15032103931839794,-0.30364992407668123,-0.5588529778821325
47,https://chase.com,-0.15032103931839794,0.12725053476212644,0.3688107548559321
