,URL,Industry,Country,State,flesch_kincaid,automated_readability,coleman_liau,flesch_reading_ease,gunning_fog,smog,standard,dale_chall,Complexity Avg
70,https://oracle.com,COMPUTERS AND ELECTRONICS,US,CA,12.2,13.8,13.0,43.02,10.23,14.4,13.0,6.8,17.092857142857145
71,https://docs.google.com,COMPUTERS AND ELECTRONICS,US,CA,14.1,15.4,13.75,32.63,11.04,16.1,14.0,6.9,16.717142857142854
72,https://cloud.google.com,COMPUTERS AND ELECTRONICS,US,CA,1.8,3.6,5.02,91.48,4.62,6.4,2.0,6.37,16.41714285714286
73,https://autodesk.com,COMPUTERS AND ELECTRONICS,US,CA,10.6,12.8,12.42,52.49,9.24,12.8,13.0,6.36,17.62142857142857
74,https://webpkgcache.com,COMPUTERS AND ELECTRONICS,US,CA,12.0,14.4,13.92,43.43,9.96,14.7,12.0,6.56,17.201428571428572
75,https://ilovepdf.com,COMPUTERS AND ELECTRONICS,US,AZ,10.7,12.8,12.18,52.19,9.17,12.8,13.0,6.15,17.548571428571428
76,https://iloveimg.com,COMPUTERS AND ELECTRONICS,US,AZ,12.9,13.6,13.4,35.78,9.85,14.6,13.0,6.68,16.16142857142857
77,https://freepdfconvert.com,COMPUTERS AND ELECTRONICS,US,AZ,11.8,13.6,13.17,43.83,10.17,14.5,14.0,6.87,17.295714285714286
78,https://fotor.com,COMPUTERS AND ELECTRONICS,US,AZ,10.3,12.4,11.89,53.21,11.51,12.6,12.0,8.96,17.701428571428572
79,https://bluestacks.com,COMPUTERS AND ELECTRONICS,US,AZ,11.9,13.3,12.53,43.73,10.99,13.9,11.0,7.64,16.764285714285716
80,https://techtarget.com,COMPUTERS AND ELECTRONICS,US,MA,12.1,14.4,12.07,48.43,10.61,13.8,11.0,6.2,17.487142857142857
81,https://cnet.com,COMPUTERS AND ELECTRONICS,US,NY,12.2,14.3,14.9,37.4,9.05,14.3,15.0,6.56,16.735714285714284
82,https://stackoverflow.com,COMPUTERS AND ELECTRONICS,US,NY,9.8,12.0,10.62,59.94,9.79,12.2,10.0,7.15,17.764285714285716
83,https://pcmag.com,COMPUTERS AND ELECTRONICS,US,NY,11.7,12.9,12.59,44.14,9.41,13.5,13.0,6.29,16.748571428571427
84,https://ibm.com,COMPUTERS AND ELECTRONICS,US,NY,6.6,7.7,8.91,68.36,8.21,10.0,9.0,8.85,16.96857142857143
85,https://allrecipes.com,FOOD AND DRINK,US,IA,11.5,13.4,15.59,34.02,10.4,12.7,12.0,9.66,15.65857142857143
86,https://foodandwine.com,FOOD AND DRINK,US,IA,4.5,6.5,7.8,79.06,6.58,8.5,7.0,8.24,17.134285714285713
87,https://eatingwell.com,FOOD AND DRINK,US,IA,7.5,9.0,9.62,65.93,8.81,10.5,9.0,9.28,17.194285714285716
88,https://loveandlemons.com,FOOD AND DRINK,US,AZ,14.9,16.9,14.34,30.6,11.47,15.9,15.0,6.59,17.01571428571429
89,https://sallysbakingaddiction.com,FOOD AND DRINK,US,AZ,10.5,13.7,14.73,47.28,10.22,13.5,11.0,8.44,17.275714285714287
90,https://thekitchn.com,FOOD AND DRINK,US,AZ,11.8,13.4,13.0,43.83,10.63,14.0,11.0,7.26,16.80857142857143
91,https://thepioneerwoman.com,FOOD AND DRINK,US,AZ,5.6,6.6,8.9,70.9,5.81,7.2,6.0,8.75,15.858571428571429
92,https://tastesbetterfromscratch.com,FOOD AND DRINK,US,AZ,11.7,13.7,13.4,44.24,8.81,14.2,14.0,5.89,17.15
93,https://spendwithpennies.com,FOOD AND DRINK,US,AZ,12.4,14.9,13.75,42.41,11.49,14.5,12.0,7.77,17.349999999999998
94,https://swiggy.com,FOOD AND DRINK,US,AZ,14.9,17.0,14.34,30.5,11.51,16.0,15.0,6.59,17.035714285714285
95,https://natashaskitchen.com,FOOD AND DRINK,US,AZ,8.8,14.4,15.15,46.44,13.2,0.0,14.0,13.9,15.998571428571427
96,https://downshiftology.com,FOOD AND DRINK,US,AZ,11.4,12.5,12.29,45.05,9.81,13.2,11.0,7.57,16.464285714285715
97,https://dogster.com,PETS AND ANIMALS,US,AZ,10.9,12.7,11.66,51.58,10.64,13.5,11.0,7.44,17.425714285714285
98,https://dogtime.com,PETS AND ANIMALS,US,AZ,12.7,14.2,12.53,41.6,11.11,14.4,13.0,7.1,17.077142857142857
99,https://expertoanimal.com,PETS AND ANIMALS,US,AZ,12.7,14.6,12.94,41.5,10.96,14.2,13.0,6.97,17.128571428571426
100,https://wildlifetrusts.org,PETS AND ANIMALS,US,AZ,8.3,9.1,10.08,58.48,9.34,11.3,9.0,8.47,16.514285714285712
101,https://bettervet.com,PETS AND ANIMALS,US,AZ,10.0,11.9,11.71,54.12,9.52,12.5,10.0,7.27,17.107142857142854
102,https://cats.com,PETS AND ANIMALS,US,AZ,12.2,13.2,12.07,42.82,10.53,14.0,12.0,6.98,16.68857142857143
103,https://litter-robot.com,PETS AND ANIMALS,US,AZ,12.6,13.6,13.45,36.39,11.12,14.3,13.0,8.57,16.35142857142857
104,https://lancasterpuppies.com,PETS AND ANIMALS,US,AZ,8.9,10.7,11.53,56.76,8.56,11.2,9.0,7.89,16.664285714285715
105,https://aquariumcoop.com,PETS AND ANIMALS,US,AZ,11.7,13.2,13.0,44.14,10.0,13.0,13.0,7.63,16.86285714285714
106,https://trustedhousesitters.com,PETS AND ANIMALS,US,AZ,13.8,17.6,16.3,33.44,11.52,15.0,18.0,8.36,17.951428571428572
107,https://petmd.com,PETS AND ANIMALS,US,FL,10.9,12.2,11.08,51.68,10.17,13.1,11.0,6.75,17.16142857142857
108,https://petinsurance.com,PETS AND ANIMALS,US,FL,13.7,15.5,14.21,33.54,10.36,15.3,14.0,6.42,16.658571428571427
109,https://spotpet.com,PETS AND ANIMALS,US,FL,11.6,13.9,13.51,44.54,8.96,14.5,15.0,6.06,17.43
110,https://nwf.org,PETS AND ANIMALS,US,FL,11.8,13.1,12.53,44.03,10.41,14.0,13.0,7.38,16.981428571428573
111,https://thesprucepets.com,PETS AND ANIMALS,US,NY,13.8,15.9,13.47,38.86,12.46,15.0,15.0,7.69,17.784285714285716
112,https://aspca.org,PETS AND ANIMALS,US,NY,5.3,6.2,7.46,76.93,7.71,9.4,7.0,7.97,17.142857142857146
113,https://adoptapet.com,PETS AND ANIMALS,US,NY,12.1,13.8,13.0,43.22,10.72,14.0,14.0,7.1,17.262857142857143
114,https://aspcapetinsurance.com,PETS AND ANIMALS,US,NY,5.8,7.5,8.4,75.61,7.11,9.2,8.0,7.26,17.374285714285715
115,https://petco.com,PETS AND ANIMALS,US,CA,10.0,11.8,11.83,54.02,9.52,12.9,10.0,7.13,17.152857142857144
116,https://wagwalking.com,PETS AND ANIMALS,US,CA,8.8,11.3,12.17,57.16,7.8,12.1,12.0,6.96,17.332857142857144
117,https://sandiegozoo.org,PETS AND ANIMALS,US,CA,12.3,14.2,13.17,42.72,10.27,14.1,14.0,6.63,17.25142857142857
118,https://animalia.bio,PETS AND ANIMALS,US,CA,13.4,17.0,15.03,39.77,12.15,15.0,15.0,7.9,18.192857142857143
119,https://livemint.com,FINANCE,US,AZ,10.6,11.9,12.64,47.18,9.0,13.0,13.0,7.23,16.759999999999998
120,https://businessinsider.com,FINANCE,US,AZ,11.6,13.7,12.01,49.86,10.6,13.9,12.0,6.88,17.667142857142856
121,https://bankbazaar.com,FINANCE,US,AZ,12.8,15.2,13.52,41.29,10.41,15.1,13.0,6.49,17.33142857142857
122,https://hangikredi.com,FINANCE,US,AZ,13.8,16.4,13.76,38.76,12.29,15.0,14.0,7.33,17.715714285714284
123,https://bseindia.com,FINANCE,US,AZ,10.3,11.8,12.69,47.89,9.82,12.9,13.0,7.9,16.914285714285715
124,https://paisabazaar.com,FINANCE,US,AZ,9.1,12.6,12.98,56.45,9.17,11.1,10.0,10.05,17.34285714285714
125,https://wise.com,FINANCE,US,CA,16.0,41.8,44.45,-4.84,12.81,0.0,13.0,20.78,17.602857142857143
126,https://tradingview.com,FINANCE,US,CA,13.2,14.8,12.71,40.18,10.28,14.9,15.0,6.0,17.295714285714286
127,https://paypal.com,FINANCE,US,CA,10.7,12.6,11.95,52.19,9.88,13.4,11.0,6.64,17.388571428571428
128,https://coinmarketcap.com,FINANCE,US,CA,12.4,14.7,13.52,42.31,9.71,14.2,14.0,6.13,17.262857142857147
129,https://intuit.com,FINANCE,US,CA,8.3,10.0,10.44,63.9,8.97,11.1,8.0,7.66,17.244285714285713
130,https://coinbase.com,FINANCE,US,CA,9.9,10.7,12.23,49.01,10.02,12.2,11.0,8.28,16.437142857142856
131,https://schwab.com,FINANCE,US,CA,8.7,10.4,11.65,57.47,9.51,11.5,10.0,8.46,17.032857142857143
132,https://wellsfargo.com,FINANCE,US,CA,10.5,12.0,12.87,47.28,9.39,13.0,11.0,7.32,16.577142857142857
133,https://experian.com,FINANCE,US,CA,10.6,11.8,13.5,41.77,7.88,12.9,8.0,6.87,15.207142857142857
134,https://creditkarma.com,FINANCE,US,CA,11.4,13.3,14.38,39.53,8.34,13.9,14.0,6.53,16.407142857142862
135,https://forbes.com,FINANCE,US,NY,12.0,14.4,13.87,43.53,9.44,14.7,15.0,6.16,17.562857142857144
136,https://investopedia.com,FINANCE,US,NY,13.1,15.0,12.82,40.48,10.49,15.0,15.0,6.28,17.412857142857142
137,https://americanexpress.com,FINANCE,US,NY,10.7,11.9,12.76,46.88,12.37,13.4,12.0,9.78,17.14428571428572
138,https://bloomberg.com,FINANCE,US,NY,8.1,9.2,9.57,64.3,8.18,10.6,8.0,6.97,16.849999999999998
139,https://finance.yahoo.com,FINANCE,US,VA,6.9,9.3,10.83,67.45,9.82,10.1,7.0,8.76,17.342857142857145
